"ID_ANALISE","COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"10362","274888","RIOJ","FAZE","219.45454","19.563637","21.649092","0","0","0","0","315","30","35.7","C","1CQ3","43.5377","53.345715","64.903"
"10363","274889","FAZE","MAUS","288.3611","26.556526","29.627085","0","0","0","0","714","72.8","89.79","C","1CQ3","147.6062","174.13225","203.06728"
"10364","274943","ITAC","SUAP","830.6667","57.024998","60.845","0","1","1","0","589","65.5","51.3","C","0103","-29.093098","14.861906","-15.687407"
"10365","275013","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","107","9.5","9.7","C","6826","3.8640976","3.5748005","-9.352308"
"10366","275018","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","0","0","110","10.75","18.9","C","0W5S","6.776178","17.203056","76.62282"
"10367","275033","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1229","78","32.79","C","1YLJ","6.2136173","10.963547","-15.208715"
"10368","275034","PSPA","FREE","463","33.7","44.7","1","1","1","1","463","33.7","44.7","L","09XB","0","0","0"
"10369","275056","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","231","21","9.5","L","20Y4","-1.8342316","-10.263908","-36.158985"
"10370","275080","MAUS","COAR","235.31624","23.401955","14.880716","1","1","1","1","232","19.9","14","L","1YIH","-1.4092684","-14.964372","-5.9185085"
"10371","275083","FLZA","SAOL","59.2","5.2980003","4.577","0","0","0","0","93","7.5","7.5","C","257J","57.094597","41.562843","63.86279"
"10372","275093","ITAC","SALV","824","54.031662","50.399998","1","1","1","1","930","64","56.6","C","1OA6","12.864077","18.449068","12.301588"
"10373","275113","BELM","FLZA","77.375","5.7875004","7.3374996","1","1","0","0","63","5","5.6","C","257J","-18.57835","-13.606918","-23.679728"
"10374","275115","SUAP","HOUS","208.8","17.6","22.399998","1","1","1","1","216","15.83","22","L","9778","3.4482718","-10.056824","-1.7857015"
"10375","275116","HOUS","SUAP","212.18182","14.535455","28.390911","1","1","1","1","219","14.25","27.6","C","9778","3.2133698","-1.9638538","-2.78579"
"10376","275139","SUAP","FAZE","194.72223","17.168333","19.551668","0","0","1","0","68","13.5","18","C","1A96","-65.07846","-21.36686","-7.936245"
"10377","275140","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","107","9","10.7","C","1A96","3.8640976","-1.8765092","-0.0071823597"
"10378","275160","BADO","PALR","174","16.844194","8.7329035","1","1","0","0","175","19.44","11.34","C","25R5","0.574708","15.410686","29.853725"
"10379","275161","MAUS","ITAC","103.29032","5.9573116","7.444945","1","0","1","0","110","8.5","7.8","C","17MT","6.4959407","42.681812","4.769075"
"10380","275162","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","110","10.4","11.7","C","17MT","6.776178","13.387144","9.337938"
"10381","275194","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","228","20.9","11.85","L","1YJC","-3.1091094","-10.691219","-20.366734"
"10382","275195","COAR","MAUS","235.30624","14.136591","10.62653","0","0","0","0","13","1","0.58","C","20Y4","-94.47529","-92.926155","-94.54196"
"10383","277437","MAUS","SAOL","980.6429","62.124287","34.247143","1","1","0","0","868","52.6","45","C","17MJ","-11.486637","-15.331024","31.39782"
"10384","277438","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","616","62","74.9","C","1CQ3","87.0576","117.45441","161.88495"
"10385","277439","SAOL","FAZE","282.1111","23.616667","25.356667","1","1","1","1","317","26","29.15","C","1CQ3","12.367069","10.091745","14.959908"
"10386","277457","CABE","SUAP","247","35","18.7","1","1","1","1","247","35","18.7","L","1LPY","0","0","0"
"10387","277522","MAUS","COAR","235.31624","23.401955","14.880716","1","1","1","1","232","19.7","12.469999","L","1YIH","-1.4092684","-15.818995","-16.200274"
"10388","277523","MAUS","ITAC","103.29032","5.9573116","7.444945","1","0","0","0","102","4.75","10","C","1HZQ","-1.249218","-20.26605","34.31933"
"10389","277524","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","0","0","102","7.75","15","C","1HZQ","-0.9893596","-15.504771","40.176846"
"10390","277532","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1220","81.7","32.08","C","1YLJ","5.4358125","16.227198","-17.044693"
"10391","277573","BBLA","SNOS","21.25","1.79375","2.4975","1","1","1","1","25","1.8","2.6","C","10QA","17.647064","0.3484249","4.1041017"
"10392","277593","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","924","68.5","44.39","L","1YIH","8.405125","-2.1320105","19.388306"
"10393","277632","SAOL","MAUS","830.75","69.49","52.6825","1","1","0","0","887","75.5","25.1","L","1YJC","6.7709923","8.648729","-52.356094"
"10394","277634","BELM","SAOL","82.918365","6.6938777","7.43653","0","1","1","0","58","5.5","8.3","L","0W5S","-30.051685","-17.835367","11.611199"
"10395","277694","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","216","20.7","10.5","L","1YJC","-8.208632","-11.545849","-29.438883"
"10396","277736","BADO","PALR","174","16.844194","8.7329035","1","1","1","1","159","17.49","10.2","C","25R5","-8.620691","3.8339972","16.79964"
"10397","277802","NYOR","CHRI","20","2","50.3","1","1","1","1","20","2","50.3","L","1700","0","0","0"
