"ID_ANALISE","ID_COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"9917","279393","ITAC","SAOL","814.64703","53.63176","51.88353","0","0","0","0","944","64.67","57.1","L","1OA6","15.878403","20.581532","10.054195"
"9918","279399","STIA","FAZE","313.33334","30.536667","28.433334","1","0","0","0","321","40.85","36.7","C","09XB","2.4468064","33.7736","29.073858"
"9919","279400","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","601","78.6","84.1","C","09XB","82.502625","175.67606","194.05238"
"9920","279413","COAR","BELM","1157.102","70.29336","38.67143","0","0","0","0","1299","80.3","31.32","C","1YLJ","12.263214","14.235544","-19.009977"
"9921","279443","PALR","RNDE","156.90805","15.968277","7.6451726","0","0","0","0","138","14","6.07","L","1VZ2","-12.050402","-12.326169","-20.603489"
"9922","279445","ITAC","SALV","819.7143","51.414284","58.225716","0","0","0","0","952","57.4","85.2","L","25DB","16.13803","11.642134","46.32709"
"9923","279449","PALR","RNDE","156.90805","15.968277","7.6451726","0","0","0","0","129","11","4","L","1WPJ","-17.786247","-31.113422","-47.6794"
"9924","279473","BAGA","STIA","1","1","1","0","0","0","0","54","2.23","2","C","1HZQ","5300","123","100"
"9925","279488","COAR","BELM","1157.102","70.29336","38.67143","1","1","0","0","1155","65.5","46.55","C","1YIH","-0.18166304","-6.8190756","20.373106"
"9926","279533","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","884","74.8","39.85","L","1YJC","3.7122607","6.868994","7.1778297"
"9927","279534","MAUS","COAR","235.31624","23.401955","14.880716","1","0","0","0","224","20.8","11.5","L","1YJC","-4.8089504","-11.118537","-22.718775"
"9692","291003","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","627","53.5","75","C","1HZM","90.39792","87.64211","162.23459"
"9693","291012","BADO","PALR","174","16.844194","8.7329035","1","1","0","0","180","18.17","10.17","C","25R5","3.4482718","7.870996","16.456116"
"9694","291101","HOUS","SUAP","212.18182","14.535455","28.390911","1","1","0","0","210","14.97","24.3","C","9778","-1.0282815","2.9895544","-14.409232"
"9695","291103","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1118","72.8","35.15","C","1YJC","-3.3793092","3.565979","-9.106016"
